timestamp,roll,pitch,yaw,thrust
792259132,-0.0276816,0.0273412,0.189537,0.0
792267716,-0.00874148,0.0242242,0.185314,0.0
792279116,0.0188907,0.0196497,0.179281,0.0
792287791,0.0360482,0.0169839,0.175467,0.0
792303141,0.0613087,0.0123649,0.168446,0.0
792311874,0.0754555,0.010951,0.165123,0.0
792327123,0.103744,0.00959006,0.158715,0.0
792339301,0.124731,0.0102412,0.15428,0.0
792347348,0.134083,0.0110645,0.151696,0.0
792355560,0.140131,0.0121484,0.149405,0.0
792367130,0.14905,0.0141142,0.146682,0.0
792385141,0.161187,0.0177996,0.144234,0.0
792391054,0.162956,0.020197,0.143204,0.0
792403414,0.169436,0.0246427,0.141775,0.0
792415597,0.176103,0.0287473,0.140759,0.0
792427206,0.175924,0.0330578,0.139836,0.0
792435580,0.174265,0.0358881,0.139286,0.0
792447067,0.173962,0.0394884,0.138551,0.0
792455801,0.178876,0.0421911,0.13799,0.0
792469197,0.178685,0.0453015,0.137375,0.0
792479004,0.183746,0.0484263,0.13668,0.0
792483243,0.183811,0.0489441,0.136556,0.0
792499090,0.187263,0.0517108,0.136266,0.0
792511271,0.185149,0.053499,0.136387,0.0
792519457,0.180525,0.0547505,0.136712,0.0
792531603,0.177968,0.0557122,0.137249,0.0
792541561,0.19139,0.0569966,0.137301,0.0
792556118,0.198352,0.0598305,0.136279,0.0
792567047,0.202881,0.0625717,0.13486,0.0
792576129,0.2046,0.0647198,0.133712,0.0
792587044,0.210358,0.067129,0.132114,0.0
792595656,0.219175,0.0685738,0.130789,0.0
792611039,0.228414,0.0700554,0.128603,0.0
792619159,0.237712,0.070758,0.127486,0.0
792635511,0.250137,0.0713216,0.125774,0.0
792646406,0.253271,0.0714492,0.125232,0.0
792660859,0.250704,0.0719422,0.125073,0.0
792670342,0.248888,0.0723761,0.125406,0.0
792680655,0.247832,0.0735346,0.126433,0.0
792693242,0.240509,0.07379,0.12846,0.0
792700914,0.236653,0.0742365,0.129736,0.0
792712730,0.227356,0.0748107,0.131981,0.0
792724699,0.212776,0.0750102,0.134218,0.0
792733419,0.20649,0.0750825,0.135846,0.0
792744751,0.196449,0.0749514,0.138332,0.0
792752764,0.18918,0.0747732,0.14009,0.0
792766785,0.176621,0.0747558,0.143026,0.0
